Contestant,Question,Label
Bryn Boyce,"In 2003, former underwear model Evan Marriott got his fifteen minutes of fame on what TV reality show?",in-situ
Bryn Boyce,What is the northernmost Great Lake?,wh-subject
Bryn Boyce,"What counterculture writer was the inspiration for the ""Doonesbury"" comic strip character Uncle Duke?",wh-subject
Bryn Boyce,"Completed in 1591, the Rialto Bridge is a well-known landmark of what European city?",in-situ
Byron Velvick,"According to the Census Bureau, the number of U.S. residents who came from what part of the world skyrocketed from 1,135 in 1850 to 36,796 in 1860?",in-situ
Byron Velvick,Which of the following is NOT the name of a category in the “personals” section of Craigslist?,wh-subject
C. Patrick Tyndall,"In its patent battle with Apple, Samsung cited what Stanley Kubrick film as proof that the concept of tablet computers existed prior to the iPad?",in-situ
C. Patrick Tyndall,"While it was being made, what animated film was alternately known as ""Bambi in Africa"" and ""Bambi meets Hamlet""?",wh-subject
C. Patrick Tyndall,"In the Austin Powers movies, Dr. Evil has a son named what?",in-situ
C. Patrick Tyndall,"In the movie ""Mean Girls,"" nerds plot to dethrone their school's ""queen bee,"" a popular blonde played by what actress?",in-situ
C. Patrick Tyndall,"What unusual product experienced a surge in popularity after being showcased by Richard Gere in ""American Gigolo""?",wh-subject
C. Patrick Tyndall,"What would be the title of the movie ""When Harry Met Sally"" if it featured the characters' surnames instead of their first names?",wh-subject
C. Patrick Tyndall,"At the end of the 2009 film ""Julie & Julia,"" what does Julie Powell leave at the Smithsonian exhibit of Julia Child's kitchen?",ex-situ
C. Patrick Tyndall,"Literally giving credit where credit is due, Keanu Reeves reportedly shared his profits from what movie franchise to the special effects team?",in-situ
C. Patrick Tyndall,"In ""Crazy, Stupid, Love,"" Steve Carell's character, Cal, is embarrassed to learn that the woman he had a one night stand with is whom?",in-situ
C. Patrick Tyndall,"In the 1988 movie ""Rain Man,"" Dustin Hoffman's character instantly counts how many toothpicks falling on the floor?",in-situ
Moe Cain,"""Bellyaching"" is a slang term for what?",in-situ
Moe Cain,Dice are usually what shape?,in-situ
Moe Cain,Wearing an amulet is commonly believed to protect a person from what?,in-situ
Moe Cain,"Which of the following household items is often described as ""two-ply""?",wh-subject
Moe Cain,Who is subject to court-martial?,wh-subject
Moe Cain,What are the various positions in a political party's platform called?,ex-situ
Moe Cain,What characteristic of sound is measured in decibels?,wh-subject
Moe Cain,"Which of these financial institutions uses the advertising slogan ""Be bullish""?",wh-subject
Moe Cain,"The Bette Midler song ""Wind Beneath my Wings"" was featured in what film?",in-situ
Moe Cain,"By definition, if a book has a soporific effect on a person, what does it do?",wh-subject
Moe Cain,"Completed in 1726, the Spanish Steps are a popular tourist spot in what city?",in-situ
Moe Cain,"According to the classic TV series ""Naked City,"" how many stories are there ""in the naked city""?",wh-subject
Moe Cain,"What two political leaders engaged in a famous war of words known as the ""kitchen debate""?",wh-subject
Moe Cain,What businessman is credited with inventing the charcoal briquette?,wh-subject
Moe Cain,How many days make up a non-leap year in the Islamic calendar?,wh-subject
Caitlin Dean,"Having an average gradient of 1 in 3.41, Baldwin Street in Dunedin, New Zealand calls itself the world’s what?",in-situ
Caitlin Dean,"According to its website, what company’s name is an acronym for “Yet Another Hierarchical Officious Oracle”?",wh-subject
Caitlin Dean,Author/illustrator Norman Bridwell once said that he made the beloved dog Clifford what color because he had the paint nearby?,in-situ
Caitlin Dean,"After surviving quadruple bypass surgery, what politician is on what the New York Times called a “vegan journey”?",wh-subject
Caitlin Dean,"Originally seen in the short film Luxo Jr., the mascot for Pixar Animation Studios is what common desktop item?",in-situ
Caitlin Dean,Competitive eaters who stuff as much food as possible into their mouths in the final seconds of a competition are engaging in what?,in-situ
Caitlin Dean,"In 2012, Carnival Cruise Lines prohibited passengers from doing what to deck chairs in order to reserve them hours ahead of time?",in-situ
Caitlin Dean,"During World War II, Winston Churchill referred to what country as the “soft underbelly of the Axis”?",in-situ
Caitlin Dean,"Since 1976, what medicine cabinet brand has sponsored an annual award honoring Mahor League Baseball’s best relief pitchers?",wh-subject
Caitlin Dean,"Given the band’s trademark, it’s highly unlikely that fans of ZZ Top suffer from pogonophobia, which is the fear of what?",in-situ
Cale Scheinbaum,"A year after Yahoo CEO Marissa Mayer was asked to make Flickr ""awesome again,"" Yahoo paid $1.1 billion for what other vowel-challenged site?",in-situ
Cale Scheinbaum,"The nutritionist who advocated chewing each bite of food at least 32 times was fond of saying ""nature will castigate those who don't"" what?",in-situ
Cale Scheinbaum,"According to a popular saying, you should do what to ensure that it's not a piece of junk?",in-situ
Cale Scheinbaum,"Trained to fight crime and defuse bombs, Iceland's elite counter-terrorism unit gives a nod to their heritage by using what name?",in-situ
Cale Scheinbaum,What silly activity to evolutionary scientists believe hones a baby's reflexes and self-defense skills?,ex-situ
Cale Scheinbaum,"Letting B-boys work on their bodies and balance, a Connecticut exercise studio has offered what activity that's sure to make you sweat?",in-situ
Cale Scheinbaum,"Carrie Underwood confessed in her American Idoel audition that she was born with polythelia, which is an extra what?",in-situ
Cale Scheinbaum,"After eating it, the ""flavor tripping"" West African berry called ""miracle fruit"" reportedly tricks your taste buds into thinking what?",in-situ
Cale Scheinbaum,"Perhaps inspired by the store's slogan ""More saving. More doing,"" in 2013 a South Carolina couple was arrested for ""doing it"" in what hardware store?",in-situ
Cale Scheinbaum,"Before she became a sitcom star, Lucille Ball had an illustrious modeling career using what fake name that she took from a racetrack?",in-situ
Cale Scheinbaum,"From 1776 to 2013, how many calendar years in the history of the U.S. are numbers that are perfect square numbers?",wh-subject
Cale Scheinbaum,"Sounding like it could refer to just about anything in the store, what IKEA product is sold under the name ""Produkt""?",wh-subject
Caleb Burroughs,"To complete a crossword puzzle, a person does what?",in-situ
Caleb Burroughs,"According to a popular nursery rhyme, what bear “had no hair”?",wh-subject
Caleb Burroughs,Which of these words was not used to describe controversial chads in Florida's presidential vote count?,wh-subject
Caleb Burroughs,A zebra is most closely related to which of these animals?,in-situ
Caleb Burroughs,"Which word means ""to remove or obscure an offensive word in a TV show or radio broadcast""?",wh-subject
Caleb Burroughs,What is the only Communist country in the Americas?,wh-subject
Caleb Burroughs,What did magician David Blaine do for 61 hours in November 2000?,ex-situ
Caleb Burroughs,What crime is called piracy when committed at sea?,wh-subject
Caleb Burroughs,Swiss chard is what type of food?,in-situ
Caleb Burroughs,Which of the following Gibb brothers was not a member of the band The Bee Gees?,wh-subject
Caleb Burroughs,"In the 1950s, x-ray machines were commonly found in which of the following establishments?",in-situ
Calvin Carrier,"Often used with fireplaces, a bellows is a device that forcibly expels what?",in-situ
Calvin Carrier,"In the Boy Scouts of America, what is the highest rank a scout can achieve?",wh-subject
Calvin Carrier,"In what Broadway musical does a chorus of teens sing, ""Tell me more, tell me more, did you get very far""?",ex-situ
Calvin Carrier,"In the classic children's game ""Hungry Hungry Hippos,"" what do the hippos eat?",ex-situ
Calvin Carrier,Irish coffee is traditionally made with what liquor?,in-situ
Calvin Carrier,"On the TV series ""Welcome Back, Kotter,"" what does Horshack say when he raises his hand in class?",ex-situ
Calvin Carrier,"In classical Greek architecture, what type of column is traditionally the most ornate?",wh-subject
Calvin Carrier,Richard Nixon's pet dog Checkers was what breed?,in-situ
Calvin Carrier,Which of these European rivers forms part of the border between France and Germany?,wh-subject
Cameron Mathison,"In a famous parable from the Book of Luke, what biblical delicacy is served at the celebration honoring the return of the Prodigal Son?",wh-subject
Cameron Mathison,"The U.K. Prime Minister's official residence is 10 Downing Street. What other government official's residence is next door, at 11 Downing Street?",in-situ
Cameron Mathison,"According to the Mayo Clinic, getting rid of your carpeting and replacing it with hardwood can be a good move if you're suffering from what respiratory ailment?",in-situ
Cameron Mathison,"Founded by two Harvard Business School students (and apparent Batman fans), Hello Alfred is an on-demand service for people who need what?",in-situ
Cameron Mathison,"In October 2016, Kim Kardashian was famously the victim of a jewel heist while staying at a swanky hotel located on Rue Tronchet in which city?",in-situ
